Uploaded at;Replay site;User name;Reported name;Description;Replay URL;
mySharedReplays.header.uploadedAt;mySharedReplays.header.replaySite;mySharedReplays.header.userName;mySharedReplays.header.reportedName;mySharedReplays.header.description;mySharedReplays.header.replayUrl;
2011-10-17 14:38:05;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45173;
2011-10-17 14:38:25;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45173;
2011-10-17 14:38:26;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45174;
2011-10-17 14:38:27;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45175;
2011-10-17 14:38:27;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45176;
2011-10-17 14:38:27;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45177;
2011-10-17 14:38:28;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45178;
2011-10-17 14:38:40;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45173;
2011-10-17 14:38:41;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45174;
2011-10-17 14:38:41;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45175;
2011-10-17 14:38:41;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45176;
2011-10-17 14:38:41;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45177;
2011-10-17 14:38:41;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45178;
2011-10-17 14:39:02;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45173;
2011-10-17 14:39:03;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45174;
2011-10-17 14:39:14;drop.sc;;SC2S_544_[EPS][Qualifier][G2]_Hilde_vs_aTnSocke_Metalopolis  MD5_dDZYVaYpy1qAkmvx4REHlX.SC2Replay;;http://drop.sc/45175;
2011-10-17 14:39:14;drop.sc;;SC2S_544_[EPS][Qualifier][G2]_Hilde_vs_aTnSocke_Metalopolis  MD5_dDZYVaYpy1qAkmvx4REHlX.SC2Replay;;http://drop.sc/45176;
2011-10-17 14:39:14;drop.sc;;SC2S_544_[EPS][Qualifier][G2]_Hilde_vs_aTnSocke_Metalopolis  MD5_dDZYVaYpy1qAkmvx4REHlX.SC2Replay;;http://drop.sc/45177;
2011-10-17 14:39:14;drop.sc;;SC2S_544_[EPS][Qualifier][G2]_Hilde_vs_aTnSocke_Metalopolis  MD5_dDZYVaYpy1qAkmvx4REHlX.SC2Replay;;http://drop.sc/45178;
2011-10-17 14:39:23;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45173;
2011-10-17 14:39:26;drop.sc;;SC2S_546_[EPS][Qualifier][G2]_GoOdy_vs_miou_Lost_Temple  MD5_yKEe2A0RC5ri3WVXEEYCom.SC2Replay;;http://drop.sc/45174;
2011-10-17 14:39:27;drop.sc;;SC2S_544_[EPS][Qualifier][G2]_Hilde_vs_aTnSocke_Metalopolis  MD5_dDZYVaYpy1qAkmvx4REHlX.SC2Replay;;http://drop.sc/45175;
2011-10-17 14:39:28;drop.sc;;SC2S_542_[EPS][Qualifier][G2]_mTwiNfeRnaL_vs_Andead_Metalopolis  MD5_H42KK1lWa30s42rXTWQwH0.SC2Replay;;http://drop.sc/45176;
2011-10-17 14:39:28;drop.sc;;SC2S_542_[EPS][Qualifier][G2]_mTwiNfeRnaL_vs_Andead_Metalopolis  MD5_H42KK1lWa30s42rXTWQwH0.SC2Replay;;http://drop.sc/45177;
2011-10-17 14:39:28;drop.sc;;SC2S_542_[EPS][Qualifier][G2]_mTwiNfeRnaL_vs_Andead_Metalopolis  MD5_H42KK1lWa30s42rXTWQwH0.SC2Replay;;http://drop.sc/45178;
2011-10-17 14:39:34;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45173;
2011-10-17 14:39:35;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45174;
2011-10-17 14:39:35;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45175;
2011-10-17 14:39:35;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45176;
2011-10-17 14:39:35;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45177;
2011-10-17 14:39:36;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45178;
2011-10-17 14:39:47;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45173;
2011-10-17 14:39:49;drop.sc;;SC2S_546_[EPS][Qualifier][G2]_GoOdy_vs_miou_Lost_Temple  MD5_yKEe2A0RC5ri3WVXEEYCom.SC2Replay;;http://drop.sc/45174;
2011-10-17 14:39:51;drop.sc;;SC2S_544_[EPS][Qualifier][G2]_Hilde_vs_aTnSocke_Metalopolis  MD5_dDZYVaYpy1qAkmvx4REHlX.SC2Replay;;http://drop.sc/45175;
2011-10-17 14:39:53;drop.sc;;SC2S_542_[EPS][Qualifier][G2]_mTwiNfeRnaL_vs_Andead_Metalopolis  MD5_H42KK1lWa30s42rXTWQwH0.SC2Replay;;http://drop.sc/45176;
2011-10-17 14:39:59;drop.sc;;SC2S_541_[EPS][Qualifier][G1]_mTwiNfeRnaL_vs_Andead_Lost_Temple  MD5_7Xc32o9O$emFwF#fkMdwN0.SC2Replay;;http://drop.sc/45177;
2011-10-17 14:40:00;drop.sc;;SC2S_545_[EPS][Qualifier][G1]_miou_vs_GoOdy_Metalopolis  MD5_MpTX3vt1XHWldc4FJSlGLW.SC2Replay;;http://drop.sc/45178;
2011-10-17 14:44:46;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45173;
2011-10-17 14:44:46;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45174;
2011-10-17 14:44:46;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45175;
2011-10-17 14:44:46;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45176;
2011-10-17 14:44:47;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45177;
2011-10-17 14:44:47;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45178;
2011.10.17 14:50:00;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45173;
2011.10.17 14:51:49;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45173;
2011.10.17 14:54:44;drop.sc;;SC2S_543_[EPS][Qualifier][G1]_Hilde_vs_aTnSocke_Lost_Temple  MD5_EMrNEbzyl7zR3fZMr9aMyw.SC2Replay;;http://drop.sc/45173;
2011.10.17 14:54:58;drop.sc;;SC2S_546_[EPS][Qualifier][G2]_GoOdy_vs_miou_Lost_Temple  MD5_yKEe2A0RC5ri3WVXEEYCom.SC2Replay;;http://drop.sc/45174;
2011.10.17 14:54:59;drop.sc;;SC2S_546_[EPS][Qualifier][G2]_GoOdy_vs_miou_Lost_Temple  MD5_yKEe2A0RC5ri3WVXEEYCom.SC2Replay;;http://drop.sc/45175;
2011.10.17 14:54:59;drop.sc;;SC2S_546_[EPS][Qualifier][G2]_GoOdy_vs_miou_Lost_Temple  MD5_yKEe2A0RC5ri3WVXEEYCom.SC2Replay;;http://drop.sc/45176;
2011.10.17 14:54:59;drop.sc;;SC2S_546_[EPS][Qualifier][G2]_GoOdy_vs_miou_Lost_Temple  MD5_yKEe2A0RC5ri3WVXEEYCom.SC2Replay;;http://drop.sc/45177;
2011.10.17 14:54:59;drop.sc;;SC2S_546_[EPS][Qualifier][G2]_GoOdy_vs_miou_Lost_Temple  MD5_yKEe2A0RC5ri3WVXEEYCom.SC2Replay;;http://drop.sc/45178;
2011.10.17 14:55:39;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45179;
2011.10.17 14:55:40;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45180;
